Date,USD_CAD,SH_Com,WTI_Oil,S&P_Financial,S&P_Industrial,S&P_Info&Tech,US_Gov,CAN_Gov
2008-04-01,-0.0035,-0.0413,-0.0059,0.075,0.0329,0.0352,0.04,0.0397
2008-04-02,-0.0076,0.0056,0.0381,0.0086,-0.0032,-0.0043,0.0129,0.0154
2008-04-03,-0.0102,0.0294,-0.0095,0.0179,-0.0018,0.0013,-0.0028,-0.0088
2008-04-07,0.0068,0.0445,0.0269,0.0137,-0.0035,-0.0032,0.0222,0.0196
2008-04-08,-0.002,0.0036,-0.0054,0.0057,-0.0048,-0.0102,0.0048,0.0047
2008-04-09,0.0056,-0.055,0.0218,0.0042,-0.0108,-0.0026,-0.0233,-0.016
2008-04-10,0.001,0.0169,-0.0069,0.013,0.0061,0.0153,0.0184,0.0186
2008-04-11,0.0035,0.0061,0.0003,0.0163,-0.0462,-0.0285,-0.0186,-0.0193
2008-04-14,-0.0047,-0.0562,0.0147,-0.019,-0.0009,-0.0046,0.0098,0.0025
2008-04-15,-0.001,0.0157,0.0182,-0.0204,0.0035,0.0009,0.0265,0.0188
2008-04-16,-0.0169,-0.0169,0.01,-0.0087,0.0253,0.0308,0.03,-0.0063
2008-04-17,0.0095,-0.0209,-0.0006,0.0027,-0.0081,0.0016,0.003,0.0214
2008-04-18,-0.0055,-0.0397,0.0159,0.0137,0.0271,0.0336,-0.0046,0.0008
2008-04-21,0.0013,0.0072,0.0068,-0.0175,-0.0052,0.0077,0.0062,-0.0054
2008-04-22,0.0013,0.0099,0.0161,-0.011,-0.0104,-0.0121,-0.0086,-0.0068
2008-04-23,0.0101,0.0415,-0.009,-0.0097,0.0004,0.0139,0.0103,0.0071
2008-04-24,-0.0029,0.0929,-0.0189,0.0058,0.01,0.0105,0.0262,0.0128
2008-04-25,-0.0004,-0.0071,0.0212,-0.0161,0.0091,-0.0118,0.0096,0.0116
2008-04-28,-0.0012,-0.0233,0.0019,0.0153,0.0003,-0.0041,-0.0106,-0.0077
2008-04-29,0.0005,0.014,-0.0263,0.0153,-0.0039,0.0059,-0.0016,-0.0078
